company_id,category_code,status,country_code,state_code,city,region,valuation_amount,valuation_currency_code,raised_amount,raised_currency_code,public_at,stock_symbol,acquired_at,b_funded_at,b_raised_amount_usd,b_pre_money_valuation_usd,b_post_money_valuation_usd,b_participants,angel_funded_at,angel_raised_amount_usd,angel_pre_money_valuation_usd,angel_post_money_valuation_usd,angel_participants,a_funded_at,a_raised_amount_usd,a_pre_money_valuation_usd,a_post_money_valuation_usd,a_participants,seed_funded_at,seed_raised_amount_usd,seed_pre_money_valuation_usd,seed_post_money_valuation_usd,seed_participants,c_funded_at,c_raised_amount_usd,c_pre_money_valuation_usd,c_post_money_valuation_usd,c_participants,d_funded_at,d_raised_amount_usd,d_pre_money_valuation_usd,d_post_money_valuation_usd,d_participants,unattributed_funded_at,unattributed_raised_amount_usd,unattributed_pre_money_valuation_usd,unattributed_post_money_valuation_usd,unattributed_participants,debt_round_funded_at,debt_round_raised_amount_usd,debt_round_pre_money_valuation_usd,debt_round_post_money_valuation_usd,debt_round_participants,e_funded_at,e_raised_amount_usd,e_pre_money_valuation_usd,e_post_money_valuation_usd,e_participants,f_funded_at,f_raised_amount_usd,f_pre_money_valuation_usd,f_post_money_valuation_usd,f_participants,private_equity_funded_at,private_equity_raised_amount_usd,private_equity_pre_money_valuation_usd,private_equity_post_money_valuation_usd,private_equity_participants,grant_funded_at,grant_raised_amount_usd,grant_pre_money_valuation_usd,grant_post_money_valuation_usd,grant_participants,post_ipo_equity_funded_at,post_ipo_equity_raised_amount_usd,post_ipo_equity_pre_money_valuation_usd,post_ipo_equity_post_money_valuation_usd,post_ipo_equity_participants,post_ipo_debt_funded_at,post_ipo_debt_raised_amount_usd,post_ipo_debt_pre_money_valuation_usd,post_ipo_debt_post_money_valuation_usd,post_ipo_debt_participants,partial_funded_at,partial_raised_amount_usd,partial_pre_money_valuation_usd,partial_post_money_valuation_usd,partial_participants,convertible_funded_at,convertible_raised_amount_usd,convertible_pre_money_valuation_usd,convertible_post_money_valuation_usd,convertible_participants,crowd_funded_at,crowd_raised_amount_usd,crowd_pre_money_valuation_usd,crowd_post_money_valuation_usd,crowd_participants,g_funded_at,g_raised_amount_usd,g_pre_money_valuation_usd,g_post_money_valuation_usd,g_participants,secondary_market_funded_at,secondary_market_raised_amount_usd,secondary_market_pre_money_valuation_usd,secondary_market_post_money_valuation_usd,secondary_market_participants,crowd_equity_funded_at,crowd_equity_raised_amount_usd,crowd_equity_pre_money_valuation_usd,crowd_equity_post_money_valuation_usd,crowd_equity_participants,ipo,is_acquired,is_closed,age,mba_degree,phd_degree,ms_degree,other_degree
c:1,web,operating,USA,WA,Seattle,Seattle,,,,,,,,2007-01-01,9500000.0,,,3.0,,,,,,2005-10-01,5250000.0,,,2.0,,,,,,2008-05-19,25000000.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,2998.0,5,1,3,18
c:4,news,acquired,USA,CA,San Francisco,SF Bay,,,,,,,2012-07-12,2006-12-01,8500000.0,,,2.0,,,,,,2005-10-01,2800000.0,,,8.0,,,,,,2008-09-24,28700000.0,,,4.0,2011-07-12,5000000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,3369.0,7,2,5,47
c:5,social,ipo,USA,CA,Menlo Park,SF Bay,104000000000.0,USD,18400000000.0,USD,2012-05-18,NASDAQ:FB,,2006-04-01,27500000.0,525000000.0,,4.0,2004-09-01,500000.0,,,2.0,2005-05-01,12700000.0,115000000.0,,3.0,,,,,,2008-03-27,60000000.0,,,2.0,2009-05-26,200000000.0,,,1.0,2011-01-21,1500000000.0,,,2.0,2008-05-01,100000000.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,3622.0,44,4,47,238
c:12,social,ipo,USA,CA,San Francisco,SF Bay,18100000000.0,USD,1820000000.0,USD,2013-11-07,NYSE:TWTR,,2008-05-01,15000000.0,,,6.0,,,,,,2007-07-01,5000000.0,20000000.0,,10.0,,,,,,2009-02-13,35000000.0,,,6.0,2009-09-25,100000000.0,,,6.0,,,,,,,,,,,2010-01-08,5166511.0,,,0.0,2010-12-15,200000000.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-08-02,400000000.0,,,5.0,2011-09-08,400000000.0,,,0.0,,,,,,True,False,False,2843.0,18,10,11,116
c:20,web,ipo,USA,CA,San Jose,SF Bay,,USD,,USD,1998-10-02,NASDAQ:EBAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-06-01,6700000.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,6697.0,118,11,45,296
c:28,network_hosting,ipo,USA,CA,San Jose,SF Bay,,USD,,USD,1990-02-23,NASDAQ:CSCO,,,,,,,,,,,,1987-01-01,2500000.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,10958.0,122,26,131,532
c:29,web,ipo,USA,CA,Sunnyvale,SF Bay,,USD,,USD,1996-04-12,NASDAQ:YHOO,,1995-11-30,4800000.0,,,3.0,,,,,,1995-04-01,2000000.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,7305.0,207,43,143,931
c:31,advertising,operating,USA,CA,San Francisco,SF Bay,,,,,,,,2004-09-01,6500000.0,,,1.0,,,,,,2002-09-01,4580000.0,,,1.0,,,,,,2007-05-10,1000000.0,,,1.0,2009-10-13,2000000.0,,,2.0,2008-03-01,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,4232.0,3,1,2,21
c:34,advertising,operating,USA,VA,Vienna,Washington DC,,,,,,,,2007-07-27,10000000.0,,,1.0,,,,,,2006-05-01,2500000.0,,,2.0,,,,,,2008-05-20,18000000.0,,,3.0,2011-05-10,20000000.0,,,9.0,,,,,,,,,,,,,,,,,,,,,2011-10-31,17000000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,3653.0,5,1,5,26
c:40,games_video,acquired,USA,CA,San Diego,San Diego,,,,,,,2010-04-07,2006-04-01,12500000.0,,,4.0,,,,,,2005-07-01,2250000.0,,,1.0,,,,,,2007-08-01,25000000.0,,,5.0,2008-06-03,30000000.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,3653.0,2,1,3,20
c:58,finance,operating,USA,CA,San Francisco,SF Bay,,,,,,,,2006-02-01,12500000.0,,,4.0,,,,,,2005-04-01,7500000.0,,,2.0,,,,,,2007-06-01,20000000.0,,,5.0,2010-04-16,14700000.0,,,2.0,2013-01-22,20000000.0,,,8.0,,,,,,2011-06-07,17200000.0,,,2.0,,,,,,2013-09-24,25000000.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,2891.0,8,1,1,23
c:59,search,ipo,USA,CA,Mountain View,SF Bay,,USD,,,2004-08-25,NASDAQ:GOOG,,,,,,,1998-08-01,100000.0,,,1.0,1999-06-07,25000000.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,5595.0,181,60,196,974
c:62,software,acquired,LUX,,Luxembourg City,Luxembourg City,,,,,,,2011-05-10,2004-03-01,18800000.0,,,2.0,2002-01-01,250000.0,,,1.0,2003-08-01,,,,1.0,,,,,,,,,,,,,,,,2010-04-16,7755032.0,,,0.0,2009-11-19,50000000.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,3806.0,20,1,10,63
c:62,software,acquired,LUX,,Luxembourg City,Luxembourg City,,,,,,,2005-09-12,2004-03-01,18800000.0,,,2.0,2002-01-01,250000.0,,,1.0,2003-08-01,,,,1.0,,,,,,,,,,,,,,,,2010-04-16,7755032.0,,,0.0,2009-11-19,50000000.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,3806.0,20,1,10,63
c:109,enterprise,acquired,USA,CA,San Francisco,SF Bay,,,,,,,2013-04-17,2008-10-29,7000000.0,,,8.0,2007-01-01,,,,6.0,2007-05-08,1200000.0,0.0,,3.0,,,,,,2010-02-24,5500000.0,,,4.0,2011-05-04,11000000.0,,,4.0,2012-07-23,10000000.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,2802.0,5,1,1,14
