company_id,category_code,status,country_code,state_code,city,region,valuation_amount,valuation_currency_code,raised_amount,raised_currency_code,public_at,stock_symbol,acquired_at,ipo,is_acquired,is_closed,age,mba_degree,phd_degree,ms_degree,other_degree,offices,average_raised_amount_usd,average_participants,total_rounds
c:1,web,operating,USA,WA,Seattle,Seattle,,,,,,,,False,False,False,2998.0,5.0,1.0,3.0,18.0,2.0,13250000.0,3.0,3
c:4,news,acquired,USA,CA,San Francisco,SF Bay,,,,,,,2012-07-12,False,True,False,3369.0,7.0,2.0,5.0,47.0,1.0,11250000.0,3.5,4
c:5,social,ipo,USA,CA,Menlo Park,SF Bay,104000000000.0,USD,18400000000.0,USD,2012-05-18,NASDAQ:FB,,True,False,False,3622.0,44.0,4.0,47.0,238.0,3.0,271528571.4285714,2.142857142857143,7
c:7,network_hosting,closed,ISR,CA,Palo Alto,SF Bay,,,,,,,,False,False,True,2983.0,,,1.0,1.0,1.0,800000.0,4.0,1
c:9,web,acquired,USA,CA,West Hollywood,Los Angeles,,,,,,,2012-11-28,False,True,False,2771.0,,,,10.0,1.0,5500000.0,1.3333333333333333,3
c:12,social,ipo,USA,CA,San Francisco,SF Bay,18100000000.0,USD,1820000000.0,USD,2013-11-07,NYSE:TWTR,,True,False,False,2843.0,18.0,10.0,11.0,116.0,1.0,145020813.875,4.25,8
c:13,web,acquired,USA,CA,San Francisco,SF Bay,,,,,,,2007-05-30,False,True,False,4352.0,3.0,,5.0,30.0,2.0,9250000.0,4.25,4
c:13,web,acquired,USA,CA,San Francisco,SF Bay,,,,,,,2009-04-01,False,True,False,4352.0,3.0,,5.0,30.0,2.0,9250000.0,4.25,4
c:14,web,acquired,USA,CA,Menlo Park,SF Bay,,,,,,,2009-12-15,False,True,False,4018.0,,,,,1.0,6033333.333333333,2.6666666666666665,3
c:15,news,operating,USA,CA,San Francisco,SF Bay,,,,,,,,False,False,False,2557.0,4.0,,1.0,14.0,1.0,5152400.0,3.0,5
c:16,music,operating,USA,CA,San Diego,San Diego,,,,,,,,False,False,False,2922.0,2.0,,3.0,14.0,1.0,14220000.0,3.4,5
c:18,games_video,acquired,USA,CA,Palo Alto,SF Bay,,,,,,,2009-12-05,False,True,False,,1.0,,1.0,2.0,1.0,11037500.0,2.25,4
c:20,web,ipo,USA,CA,San Jose,SF Bay,,USD,,USD,1998-10-02,NASDAQ:EBAY,,True,False,False,6697.0,118.0,11.0,45.0,296.0,1.0,6700000.0,1.0,1
c:21,network_hosting,closed,USA,,,TBD,,,,,,,,False,False,True,2771.0,1.0,,,9.0,1.0,5000000.0,1.0,1
c:22,social,operating,USA,NY,New York City,New York,,,,,,,,False,False,False,2557.0,1.0,,,5.0,1.0,1858333.3333333333,1.0,3
c:23,games_video,acquired,USA,NY,New York,New York,,,,,,,2009-11-24,False,True,False,2649.0,2.0,,5.0,12.0,1.0,45000000.0,3.0,1
c:26,games_video,closed,GBR,,London,London,,,,,,,,False,False,True,2498.0,,1.0,,1.0,1.0,13200000.0,1.0,1
c:27,web,acquired,USA,CA,Sunnyvale,SF Bay,,,,,,,2008-05-14,False,True,False,4063.0,6.0,,5.0,19.0,1.0,7075000.0,2.5,4
c:28,network_hosting,ipo,USA,CA,San Jose,SF Bay,,USD,,USD,1990-02-23,NASDAQ:CSCO,,True,False,False,10958.0,122.0,26.0,131.0,532.0,1.0,2500000.0,1.0,1
c:29,web,ipo,USA,CA,Sunnyvale,SF Bay,,USD,,USD,1996-04-12,NASDAQ:YHOO,,True,False,False,7305.0,207.0,43.0,143.0,931.0,1.0,3400000.0,2.0,2
c:30,search,acquired,USA,CA,San Francisco,SF Bay,,,,,,,2008-07-01,False,True,False,2649.0,,1.0,2.0,16.0,1.0,7500000.0,2.6666666666666665,3
c:31,advertising,operating,USA,CA,San Francisco,SF Bay,,,,,,,,False,False,False,4232.0,3.0,1.0,2.0,21.0,1.0,3520000.0,1.2,5
c:32,messaging,acquired,GBR,,Buckinghamshire,Buckinghamshire,,,,,,,2009-12-30,False,True,False,,1.0,,1.0,3.0,1.0,52750000.0,2.0,2
c:34,advertising,operating,USA,VA,Vienna,Washington DC,,,,,,,,False,False,False,3653.0,5.0,1.0,5.0,26.0,6.0,13500000.0,3.0,5
c:35,advertising,operating,USA,CA,Pasadena,Los Angeles,,,,,,,,False,False,False,2071.0,11.0,,6.0,47.0,5.0,15102240.0,5.2,5
c:36,web,operating,USA,CA,Culver City,Los Angeles,,,,,,,,False,False,False,2498.0,4.0,,,13.0,1.0,10500000.0,4.5,2
c:38,games_video,acquired,USA,CA,San Francisco,SF Bay,,,,,,,2011-01-31,False,True,False,2588.0,2.0,,,8.0,1.0,4175000.0,2.3333333333333335,3
c:39,web,closed,USA,CA,palo alto,SF Bay,,,,,,,,False,False,True,2345.0,,,,,1.0,,0.0,1
c:40,games_video,acquired,USA,CA,San Diego,San Diego,,,,,,,2010-04-07,False,True,False,3653.0,2.0,1.0,3.0,20.0,1.0,17437500.0,5.0,4
c:43,web,closed,USA,TX,Austin,Austin,,,,,,,,False,False,True,2588.0,,,,2.0,1.0,1000000.0,2.0,1
c:44,mobile,acquired,USA,NY,New York,New York,,,,,,,2011-04-11,False,True,False,3044.0,4.0,,,11.0,1.0,9775188.833333334,2.8333333333333335,6
c:46,software,operating,USA,CA,San Francisco,SF Bay,,,,,,,,False,False,False,3745.0,1.0,1.0,,9.0,3.0,10041000.0,1.3333333333333333,3
c:47,enterprise,acquired,USA,CA,Brisbane,SF Bay,,,,,,,2011-09-20,False,True,False,3349.0,6.0,,1.0,31.0,1.0,39666666.666666664,1.5,4
c:48,web,operating,USA,IL,Chicago,Chicago,,,,,,,,False,False,False,,,,,,1.0,8400000.0,1.0,1
c:49,web,acquired,USA,CA,Palo Alto,SF Bay,,,,,,,2006-10-31,False,True,False,,1.0,,3.0,4.0,1.0,5200000.0,2.0,1
c:50,web,operating,USA,NY,New York,New York,,,,,,,,False,False,False,4377.0,3.0,,1.0,7.0,1.0,4575000.0,1.75,4
c:51,web,closed,USA,CA,Sunnyvale,SF Bay,,,,,,,,False,False,True,,,,,1.0,1.0,5000000.0,1.0,1
c:53,security,ipo,USA,AZ,Tempe,Phoenix,,USD,,USD,2012-10-04,NYSE:LOCK,,True,False,False,3075.0,8.0,,4.0,20.0,1.0,35570000.0,2.6,5
c:54,web,closed,USA,CA,San Francisco,SF Bay,,,,,,,,False,False,True,2953.0,,,,1.0,1.0,2350000.0,1.5,2
c:55,web,closed,USA,CA,,California - Other,,,,,,,,False,False,True,,,,,7.0,1.0,4500000.0,4.0,2
c:56,web,closed,USA,CA,San Francisco,SF Bay,,,,,,,,False,False,True,,,,,,1.0,100000.0,0.0,1
c:58,finance,operating,USA,CA,San Francisco,SF Bay,,,,,,,,False,False,False,2891.0,8.0,1.0,1.0,23.0,1.0,16700000.0,3.5714285714285716,7
c:59,search,ipo,USA,CA,Mountain View,SF Bay,,USD,,,2004-08-25,NASDAQ:GOOG,,True,False,False,5595.0,181.0,60.0,196.0,974.0,67.0,12550000.0,1.5,2
c:60,mobile,acquired,USA,CA,Mountain View,SF Bay,,,,,,,2009-12-20,False,True,False,3287.0,3.0,,1.0,19.0,1.0,8250000.0,1.0,4
c:61,software,operating,USA,CA,San Francisco,SF Bay,,,,,,,,False,False,False,3075.0,,,,2.0,1.0,3700000.0,0.0,1
c:62,software,acquired,LUX,,Luxembourg City,Luxembourg City,,,,,,,2011-05-10,False,True,False,3806.0,20.0,1.0,10.0,63.0,3.0,19201258.0,1.4,5
c:62,software,acquired,LUX,,Luxembourg City,Luxembourg City,,,,,,,2005-09-12,False,True,False,3806.0,20.0,1.0,10.0,63.0,3.0,19201258.0,1.4,5
c:63,games_video,acquired,USA,CA,San Bruno,SF Bay,,,,,,,2006-10-01,False,True,False,3256.0,14.0,,4.0,59.0,1.0,5750000.0,1.0,2
c:65,games_video,acquired,ISR,,Ramat Gan,Ramat Gan,,,,,,,2013-03-13,False,True,False,2802.0,2.0,,,5.0,1.0,3000000.0,1.0,1
c:66,games_video,operating,USA,NY,New York,New York,,,,,,,,False,False,False,2437.0,1.0,,,2.0,1.0,4499991.0,0.3333333333333333,3
c:67,games_video,operating,USA,CA,San Francisco,SF Bay,,,,,,,,False,False,False,2649.0,,2.0,1.0,10.0,1.0,14503331.333333334,2.8,5
c:68,games_video,operating,USA,CA,San Francisco,SF Bay,,,,,,,,False,False,False,2557.0,6.0,,2.0,26.0,3.0,20033333.333333332,3.3333333333333335,3
c:69,games_video,operating,USA,NY,NYC,New York,,,,,,,,False,False,False,2557.0,1.0,,,9.0,1.0,6006666.666666667,1.0,3
c:70,games_video,operating,USA,NY,New York,New York,,,,,,,,False,False,False,3471.0,,,1.0,3.0,1.0,5500000.0,1.5,2
c:72,mobile,acquired,USA,CA,Fremont,SF Bay,,,,,,,2007-07-01,False,True,False,2832.0,3.0,,,12.0,1.0,4000000.0,1.0,1
c:73,public_relations,acquired,USA,CA,San Diego,San Diego,,,,,,,2009-11-09,False,True,False,3928.0,,,,3.0,1.0,6000000.0,1.0,1
c:75,web,acquired,USA,CA,San Mateo,SF Bay,,,,,,,2005-12-01,False,True,False,3775.0,,,,6.0,1.0,,4.0,1
c:75,web,acquired,USA,CA,San Mateo,SF Bay,,,,,,,2011-04-27,False,True,False,3775.0,,,,6.0,1.0,,4.0,1
c:77,advertising,acquired,USA,CA,San Mateo,SF Bay,,,,,,,2013-08-07,False,True,False,2618.0,7.0,,,16.0,6.0,9700000.0,2.0,5
c:78,web,operating,USA,CA,Palo Alto,SF Bay,,,,,,,,False,False,False,4232.0,,,,14.0,1.0,15000000.0,3.0,2
c:80,search,acquired,USA,WA,Seattle,Seattle,,,,,,,2010-04-05,False,True,False,3653.0,2.0,,1.0,12.0,1.0,13125000.0,3.25,4
c:81,web,acquired,USA,CA,San Francisco,SF Bay,,,,,,,2008-12-01,False,True,False,2406.0,,,,5.0,1.0,,2.0,1
c:82,games_video,acquired,USA,CA,San Francisco,SF Bay,,,,,,,2012-05-03,False,True,False,3197.0,2.0,,5.0,21.0,1.0,4500000.0,1.5,2
c:83,web,closed,GBR,,Oxford,London,,,,,,,,False,False,True,3440.0,,,,1.0,1.0,,2.0,1
c:84,advertising,acquired,USA,CA,San Mateo,SF Bay,,,,,,,2013-10-31,False,True,False,2863.0,3.0,,3.0,14.0,1.0,9288990.625,1.875,8
c:85,web,operating,USA,CA,San Francisco,SF Bay,,,,,,,,False,False,False,2832.0,5.0,,3.0,23.0,5.0,11500000.0,1.25,4
c:86,games_video,acquired,USA,CA,Mountain View,SF Bay,,,,,,,2007-08-07,False,True,False,2406.0,1.0,,,3.0,1.0,13000000.0,2.5,2
